,val_loss,val_acc,loss,acc
0,1.2118727063179016,0.5786,1.5199580230914098,0.4446998716385699
1,1.0849302299499513,0.6321,1.2152748075524646,0.5664551565163495
2,1.069540769958496,0.6383,1.1102062938516635,0.6075842696748806
3,0.9597295397758484,0.6786,1.0405134507611897,0.633805678162969
4,0.9378601919174194,0.6907,0.993057593552584,0.6504363964758754
5,0.9472174520492553,0.6897,0.9597337994778329,0.6627131821734182
6,0.8338077451705933,0.7219,0.9386098823233554,0.6703074839558112
7,0.9260106799125671,0.7027,0.9197697180853992,0.6774202447952657
8,0.8120915940284729,0.7307,0.9044182534752649,0.6834420144581871
9,0.9053414216041565,0.7124,0.8915411359688826,0.6883953651589719
10,0.8210945024490356,0.7323,0.8791038054715764,0.6924408105843332
11,0.8690460312843322,0.7221,0.8731472120741397,0.695410313003997
12,0.8841533826828003,0.723,0.8651279158376002,0.6976073434920219
13,0.8683607343673706,0.7204,0.8575816663678729,0.7012013442874147
14,0.8178564282417298,0.7394,0.8529042452238919,0.7023274478330658
15,0.8417683628082275,0.7302,0.8483084605148669,0.7049307784959554
16,0.8467447332382202,0.7323,0.8438081029784622,0.7063754012625826
17,0.8123031115531921,0.7387,0.8388999160636295,0.7077322431877375
18,0.8651630534172058,0.7269,0.833617236908902,0.7090263844182174
19,0.8322431694030762,0.7349,0.8312366583302354,0.7101725521788934
20,0.835565191745758,0.738,0.8257512587653308,0.7128185192520698
21,0.76539765625,0.7559,0.8240655127344698,0.7135533707769495
22,0.8267393662452698,0.7387,0.8238394049685418,0.7128711878057468
23,0.7930663022994995,0.7511,0.8183540003401127,0.7155221709446387
24,0.8506694461345673,0.738,0.8193517473713161,0.7146493780048472
25,0.8938773687362671,0.7282,0.8123235834424607,0.7169442214944772
26,0.8353797063827515,0.743,0.8116958405051147,0.7172401685417177
27,0.8760062613010406,0.7392,0.8098744583837867,0.7177041532905297
28,0.854808350276947,0.7373,0.8092718572811751,0.7191964285786041
29,0.812053784751892,0.7453,0.8060354863253106,0.7199287720682341
30,0.9087801485061645,0.7313,0.8043453542823585,0.7199312800867408
31,0.7855174648761749,0.7544,0.802680221472659,0.7209495385208826
32,0.809091547870636,0.7475,0.8006111843675902,0.7214937800867408
33,0.9403692132949829,0.7254,0.7988367129577679,0.7216417536019897
34,0.7877517186164856,0.7545,0.8001040259151934,0.7223264446299684
35,0.919403434753418,0.7302,0.7974189203752752,0.7229910714309633
36,0.8039089165687561,0.7532,0.7968184402436735,0.7225596910040605
37,0.7758408266067505,0.7555,0.7952368467328637,0.7235403290625368
38,0.8025070247650147,0.7509,0.7953098258156073,0.7239039927744942
39,0.75137265625,0.7643,0.7915521779385893,0.7242213509405168
40,0.892840477848053,0.7362,0.7929425323444805,0.7252508025753939
41,0.8233614713668823,0.7476,0.791308148791281,0.7247015449366447
42,0.7892239565372468,0.7549,0.7888722515005744,0.7266051364222461
43,0.83834480843544,0.7445,0.7897194601559524,0.7260408306557141
44,0.8098236167907715,0.7459,0.7878374203656879,0.726261536918138
45,0.877861635017395,0.7364,0.7886074559694308,0.7259254614815092
46,0.9057801933288574,0.729,0.7866794629282592,0.7260232744591959
47,0.8015114523410797,0.7509,0.7859625496508413,0.7269161316259715
48,0.7626061393737793,0.7596,0.7853009133478611,0.7265800561725998
49,0.8186672729492187,0.7543,0.7821660753620571,0.7282955457439966
